anterior.posterior,dorso.ventral
-2.60220,-0.488390
-2.66746,-0.531202
-2.72531,-0.582234
-2.80541,-0.608604
-2.87100,-0.626388
-2.93583,-0.702570
-3.02228,-0.804146
-3.14550,-0.889647
-3.33452,-0.976247
-3.51676,-1.02101
-3.70664,-1.04087
-3.85264,-1.05999
-4.02069,-1.07114
-4.20347,-1.07419
-4.39355,-1.07737
-4.54719,-1.07158
-4.65718,-1.04839
-4.70921,-0.982500
-4.76157,-0.891584
-4.66813,-0.764858
-4.58867,-0.688432
-4.47996,-0.611517
-4.34234,-0.509087
-4.17525,-0.422854
-3.97183,-0.319325
-3.80431,-0.266463
-3.68045,-0.231018
-3.55659,-0.195573
-3.38833,-0.201109
-3.19803,-0.214622
-3.02256,-0.211694
-2.86151,-0.225695
-2.74410,-0.257113
-2.69250,-0.289630
-2.64799,-0.338954
-2.61069,-0.396743
-2.59532,-0.454897
-2.59489,-0.488268
